"ID","Series","Supplier","Title","Date","Company","Currency","Exchange Rate","Status","Supplier Name","Price List","ID (Items)","Amount (Company Currency) (Items)","Item Code (Items)","Item Name (Items)","Quantity (Items)","Rate (Company Currency) (Items)","Required By (Items)","Stock UOM (Items)","UOM (Items)","UOM Conversion Factor (Items)"
"PUR-ORD-25/26-01378","PUR-ORD-.25/26.-","BRIHASPATHI INNOVATIONS PRIVATE LIMITED","{supplier_name}","2026-02-20","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Draft","BRIHASPATHI INNOVATIONS PRIVATE LIMITED","Standard Buying","stir6jkh1d",18225000.0,"Supply of CCTV Camera as per RDSO Spection No.RDSO/SPN/TC/106/2025, Version 3.1 or latest.","Supply of CCTV Camera as per RDSO Spection No.RDSO/SPN/TC/106/2025, Version 3.1 or latest.",45.0,405000.0,"2026-03-31","Nos","Nos",1.0
"PUR-ORD-25/26-01171","PUR-ORD-.25/26.-","ELITE NETWORK","{supplier_name}","2026-01-13","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"To Receive and Bill","ELITE NETWORK","Standard Buying","6p19j26p2o",828000.0,"3core 1.5MM Flexible Cable","3core 1.5MM Flexible Cable",18000.0,46.0,"2026-01-14","Nos","Meter",1.0
"PUR-ORD-25/26-01168","PUR-ORD-.25/26.-","RALBO ENGINEERING PRIVATE LIMITED","{supplier_name}","2026-01-12","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"To Receive and Bill","RALBO ENGINEERING PRIVATE LIMITED","Standard Buying","vjmt9qkfai",7910000.0,"Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)","Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)",35000.0,226.0,"2026-01-12","Nos","mtr",1.0
"","","","","","","","","","","","mg6hjns5g2",6335000.0,"Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)","Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)",35000.0,181.0,"2026-01-12","Nos","mtr",1.0
"","","","","","","","","","","","97444tm7q4",10045000.0,"Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)","Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)",35000.0,287.0,"2026-01-12","Nos","mtr",1.0
"","","","","","","","","","","","gngpie71gl",11060000.0,"Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)","Hordip Galvanized Perforation Cable Trays (Avg 65 Micron)",35000.0,316.0,"2026-01-12","Nos","Nos",1.0
"","","","","","","","","","","","2kut5351f9",0.0,"Coupler Plate (Jointer Patti)45mm &30mm","Coupler Plate (Jointer Patti)45mm &30mm",56000.0,0.0,"2026-01-12","Nos","Nos",1.0
"","","","","","","","","","","","fk5n37mqoh",672000.0,"GI Hardware (Nut,Bolt&Washer) 8x20","GI Hardware (Nut,Bolt&Washer) 8x20",224000.0,3.0,"2026-01-12","Nos","Set",1.0
"","","","","","","","","","","","m2ti29f6s2",10200000.0,"Cable tray Support With Clamp","Cable tray Support With Clamp",20000.0,510.0,"2026-01-12","Nos","Set",1.0
"PUR-ORD-25/26-01081","PUR-ORD-.25/26.-","Rana Agros and Electricals","{supplier_name}","2025-12-23","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Draft","Rana Agros and Electricals","Standard Buying","v2qdk25phh",251735.0,"25mm LMS Polycab pipe","25mm LMS Polycab pipe",5500.0,45.77,"2025-12-24","Nos","Nos",1.0
"PUR-ORD-2025-00319-1","PUR-ORD-.YYYY.-","Hi Focus Electronics India Pvt Ltd","{supplier_name}","2025-01-30","BRIHASPATHI TECHNOLOGIES LIMITED","INR",1.0,"Completed","Hi Focus Electronics India Pvt Ltd","Standard Buying","kr2a3eenq6",1201200.0,"HIFO16CHNV1041","HI FOCUS 16 CH NVR 1 SATA ",312.0,3850.0,"2025-01-30","Nos","Nos",1.0
